mayo_bench_MAYO_1
KeyGen cycles, 4637, 996, 6981, 18, 216, 111774, 26177, 669, 331
KeyGen cycles, 55, 871, 1800, 16, 49, 75108, 25317, 296, 308
KeyGen cycles, 62, 776, 1665, 16, 49, 55064, 25736, 199, 257
KeyGen cycles, 52, 671, 1634, 18, 48, 54998, 24358, 255, 254
KeyGen cycles, 55, 663, 1618, 18, 48, 64114, 25719, 220, 254
KeyGen cycles, 43, 546, 1597, 16, 47, 55945, 33166, 216, 256
KeyGen cycles, 53, 487, 1656, 16, 50, 55411, 25659, 195, 257
KeyGen cycles, 51, 573, 1825, 18, 48, 55649, 25074, 234, 257
KeyGen cycles, 43, 515, 1693, 15, 51, 58030, 26467, 223, 259
KeyGen cycles, 43, 645, 1769, 15, 49, 55663, 26756, 261, 261
KeyGen cycles, 51, 532, 1630, 16, 51, 56123, 28282, 213, 267
KeyGen cycles, 43, 503, 2138, 15, 51, 55772, 27403, 222, 252
KeyGen cycles, 43, 509, 1624, 18, 50, 54965, 25853, 246, 257
KeyGen cycles, 41, 509, 1800, 18, 45, 55785, 30221, 199, 273
KeyGen cycles, 41, 533, 2223, 17, 47, 57248, 28156, 221, 255
KeyGen cycles, 41, 776, 2314, 18, 47, 55257, 24782, 205, 254
KeyGen cycles, 41, 727, 1691, 19, 49, 55187, 24455, 236, 255
KeyGen cycles, 53, 589, 1578, 15, 51, 55002, 23823, 224, 253
KeyGen cycles, 54, 537, 1614, 18, 47, 54951, 24499, 240, 252
KeyGen cycles, 44, 500, 1579, 18, 50, 55624, 26428, 221, 335
KeyGen cycles, 43, 495, 1679, 16, 51, 55031, 25870, 219, 261
KeyGen cycles, 55, 620, 1805, 16, 51, 55386, 25576, 240, 253
KeyGen cycles, 41, 492, 1735, 18, 49, 55335, 25917, 244, 251
KeyGen cycles, 41, 521, 2088, 16, 52, 55337, 24609, 351, 254
KeyGen cycles, 43, 628, 2318, 16, 49, 55210, 25816, 236, 256
KeyGen cycles, 44, 619, 1774, 18, 50, 55644, 25340, 353, 251
KeyGen cycles, 43, 610, 1736, 17, 49, 55136, 25623, 219, 255
KeyGen cycles, 42, 515, 1757, 16, 154, 55809, 26060, 349, 247
KeyGen cycles, 43, 1176, 1952, 17, 123, 55105, 24426, 548, 259
KeyGen cycles, 53, 719, 2026, 16, 49, 55050, 24716, 230, 256
KeyGen cycles, 43, 596, 1615, 16, 48, 55511, 27103, 254, 259
KeyGen cycles, 43, 690, 2055, 16, 111, 55468, 24977, 359, 254
KeyGen cycles, 43, 704, 1581, 16, 50, 56053, 28332, 195, 253
KeyGen cycles, 50, 1005, 2045, 16, 49, 55237, 27669, 226, 248
KeyGen cycles, 41, 665, 1981, 16, 53, 55809, 28932, 224, 254
KeyGen cycles, 41, 684, 2949, 15, 127, 55879, 27439, 216, 341
KeyGen cycles, 43, 665, 2377, 17, 80, 55392, 26261, 335, 378
KeyGen cycles, 54, 698, 2136, 15, 172, 56047, 27144, 212, 258
KeyGen cycles, 43, 1285, 2077, 18, 48, 56642, 26029, 228, 271
KeyGen cycles, 43, 878, 2168, 16, 130, 55474, 27930, 214, 357
KeyGen cycles, 43, 552, 2196, 14, 52, 55376, 25399, 203, 253
KeyGen cycles, 51, 649, 1868, 16, 51, 55011, 25906, 197, 253
KeyGen cycles, 51, 509, 1909, 16, 50, 56162, 28078, 342, 339
KeyGen cycles, 42, 849, 2636, 16, 48, 55677, 29899, 205, 355
KeyGen cycles, 41, 865, 2469, 18, 121, 56431, 25972, 236, 261
KeyGen cycles, 51, 938, 2654, 16, 76, 55222, 25882, 218, 250
KeyGen cycles, 53, 678, 1697, 17, 382, 55088, 25937, 382, 267
KeyGen cycles, 41, 735, 1921, 17, 49, 56532, 33665, 437, 365
KeyGen cycles, 53, 1123, 2781, 17, 49, 69192, 36989, 480, 341
KeyGen cycles, 43, 1314, 3531, 18, 212, 71803, 35995, 369, 468
KeyGen cycles, 52, 965, 2896, 22, 93, 71476, 37486, 373, 388
KeyGen cycles, 50, 886, 3397, 19, 148, 75249, 40065, 376, 446
KeyGen cycles, 66, 1149, 3763, 18, 66, 76592, 41997, 377, 398
KeyGen cycles, 76, 1673, 3567, 14, 81, 78806, 40174, 460, 400
KeyGen cycles, 84, 1121, 3487, 17, 100, 75209, 37614, 419, 488
KeyGen cycles, 60, 954, 3485, 17, 63, 3197311, 43676, 876, 1373
